Tracker Distance,Very Active Distance,Moderately Active Distance,Light Active Distance,Very Active Minutes,Fairly Active Minutes,Lightly Active Minutes,Sedentary Minutes,Steps,Burned Calories 
4.090000153,0,0,4.090000153,0,0,416,1024,5995,2010
11.30000019,4.929999828,0.379999995,5.96999979,58,8,231,1143,14890,3060
7.190000057,1.429999948,0.660000026,5.110000134,55,24,275,1086,10119,2793
2.25999999,0,0,2.25999999,0,0,147,1293,3414,1657
6.059999943,1.049999952,1.75,3.25999999,15,42,183,644,9010,1468
8.779999733,2.24000001,2.450000048,3.960000038,19,67,221,738,12414,1638
3.369999886,0.469999999,0.930000007,1.929999948,12,35,75,1318,4697,2496
7.320000172,1.129999995,0.419999987,5.769999981,14,9,232,738,9023,3033
5.079999924,0,0,5.079999924,0,0,383,511,8198,1736
6.369999886,2.25,0.569999993,3.549999952,29,13,186,1212,8757,3011
7.75,3.74000001,1.299999952,2.710000038,36,32,150,744,10645,1545
1.590000033,0,0,1.590000033,0,0,126,937,2483,2009
6.920000076,0.07,1.419999957,5.429999828,1,24,284,720,10465,2133
4.03000021,0,0,3.940000057,0,0,164,1276,5394,2286
5.789999962,1.850000024,0.050000001,3.869999886,22,2,333,1083,8283,2057
1.789999962,0.159999996,0.159999996,1.480000019,3,9,84,1344,2503,2280
5.21999979,0,0,5.21999979,0,0,383,1057,7891,2066
6.420000076,3.329999924,0.310000002,2.779999971,118,30,176,662,8596,4022
3.380000114,2.279999971,0.550000012,0.550000012,75,11,52,1302,4940,1897
3.480000019,0.600000024,0.280000001,2.599999905,21,10,237,1172,5267,1953
5.139999866,1.809999943,0.400000006,2.930000067,63,16,190,773,6805,3294
7.429999828,0.49000001,0.819999993,6.110000134,6,15,270,730,9167,3064
0.460000008,0,0,0.460000008,0,0,20,1420,637,1922
3.50999999,0,0.389999986,3.109999895,0,11,223,1206,5202,1780
2.369999886,0,0.25,2.109999895,0,8,105,127,3587,928
0,0,0,0,0,0,0,1440,0,1980
16.30999947,10.22999954,0.029999999,5.96999979,61,2,236,1141,18258,3427
2.670000076,0,0,2.660000086,0,0,86,1354,3673,2344
8.109999657,1.080000043,0.200000003,6.800000191,17,4,245,1174,10686,2847
4.21999979,0,0,4.199999809,0,0,202,1238,6497,1492
5.150000095,0.589999974,0.839999974,3.730000019,17,30,262,1131,7795,2121
5.559999943,1.120000005,0.349999994,4.070000172,37,20,235,732,7439,3014
0.519999981,0,0,0.519999981,0,0,40,1400,772,1403
4.880000114,1.370000005,0.289999992,3.220000029,15,8,190,804,7114,1407
4.639999866,1.080000043,0.200000003,3.349999905,20,7,343,1070,6798,2014
5.440000057,0.879999995,0.370000005,4.190000057,10,8,179,757,6708,2812
7.880000114,3.99000001,2.099999905,3.50999999,53,27,214,708,11835,2179
2.619999886,0,0,2.609999895,0,0,206,1234,3843,1669
3.130000114,0,0,3.099999905,0,0,177,855,4369,2704
3.910000086,0,0,3.890000105,0,0,241,759,5153,2018
4.199999809,0,0,4.199999809,0,0,290,1150,6227,1899
1.960000038,0,0,1.960000038,0,0,180,897,2923,2070
3.319999933,0,0,3.319999933,0,0,199,720,5029,1705
5.409999847,2.160000086,0.340000004,2.910000086,28,7,213,1192,7913,1835
12.65999985,9.079999924,0.230000004,3.349999905,102,6,195,1137,17076,3133
0.779999971,0,0,0.779999971,0,0,84,853,1219,1963
5.079999924,0,0,5.059999943,0,0,335,1105,7451,1908
5.119999886,0,0.219999999,4.880000114,0,8,404,1028,7618,2004
2.039999962,0,0,2.039999962,0,0,112,1328,3134,1359
6.710000038,0.330000013,0.680000007,5.690000057,5,13,295,634,10145,2027
7.28000021,0.939999998,1.059999943,5.269999981,14,23,224,673,9461,2929
4.71999979,0,0,4.71999979,0,0,302,1138,6238,2796
7.539999962,0,0,7.539999962,0,0,475,479,12167,1926
6.400000095,0.550000012,1.139999986,4.710000038,7,19,304,1110,9634,2117
10.13000011,2.109999895,2.089999914,5.929999828,33,45,262,1100,13175,3425
11.11999989,4.099999905,1.879999995,5.090000153,51,42,212,1135,15300,3493
3.039999962,1.179999948,0.49000001,1.370000005,19,14,108,1299,4562,1813
6.820000172,0.550000012,2.019999981,4.25,7,38,279,697,10320,2034
3.529999971,0,0,3.529999971,0,0,202,1238,5273,2098
7.070000172,4.159999847,0.769999981,2.119999886,70,33,132,726,10387,2781
1.5,0,0,1.5,0,0,141,785,2424,1356
9.489999771,2.630000114,1.409999967,5.449999809,27,34,328,957,13658,2530
6.25,0.02,0.270000011,5.949999809,1,11,367,985,9451,2185
8.380000114,3.819999933,1.429999948,3.119999886,84,35,154,834,12461,2924
7.130000114,0.159999996,1.230000019,5.730000019,2,29,260,717,8793,3061
9.729999542,6.599999905,0.270000011,2.869999886,77,5,129,1229,12474,3142
4.900000095,0.25,0.360000014,4.269999981,3,7,172,767,6175,2982
3.680000067,0,0,3.680000067,0,0,288,1018,5933,1595
13.42000008,4.309999943,2.049999952,7.949999809,55,42,382,961,20067,3180
0,0,0,0,0,0,0,1440,0,1347
2.670000076,0,0,2.650000095,0,0,184,218,4014,1763
6.119999886,2.029999971,0.330000013,3.660000086,35,32,189,787,9123,2734
6.260000229,0,0,6.260000229,0,0,360,584,9471,2187
5.920000076,2.839999914,0.610000014,2.470000029,97,36,165,739,7924,3544
1.870000005,0,0,1.870000005,0,0,120,1320,2824,1651
5.190000057,0,0,5.190000057,0,0,345,1095,7726,1906
0.090000004,0,0,0.090000004,0,0,9,1431,144,1720
3.730000019,0,0,3.730000019,0,0,260,821,6017,1576
4.900000095,0.460000008,0,4.420000076,46,0,366,1028,7286,2241
1.419999957,0.449999988,0.370000005,0.589999974,65,21,55,1222,1982,3051
3.519999981,0.779999971,0.119999997,2.039999962,10,2,117,1311,4512,2596
9.239999771,5.829999924,0.790000021,2.609999895,207,45,163,621,12363,4501
5.960000038,2.329999924,0.579999983,3.059999943,33,12,188,731,8911,1481
2.599999905,0,0,2.599999905,0,0,192,1058,3761,2638
17.62000084,12.28999996,0.419999987,4.889999866,82,13,226,1119,19377,3659
3.579999924,1.059999943,0.090000004,2.420000076,17,4,300,1119,5250,1946
3.50999999,0,0,3.50999999,0,0,240,741,5232,2246
2.450000048,0,0,2.430000067,0,0,134,1306,3135,2443
6.210000038,0,0.280000001,5.929999828,0,8,390,544,9259,2314
4.949999809,0.07,0.349999994,4.539999962,1,8,216,765,6108,2784
7.960000038,0.779999971,2.160000086,4.980000019,10,41,235,784,9810,3069
4.329999924,0,0,4.320000172,0,0,319,1121,6440,1826
11.11999989,4,2.450000048,4.670000076,61,41,256,693,17022,2324
7.78000021,0,0,0,0,0,0,1440,10122,2955
6.840000153,0.200000003,2.319999933,4.309999943,3,53,227,1157,9405,3108
6.380000114,1.269999981,0.519999981,4.599999905,15,11,277,653,9482,2095
1.159999967,0,0,1.159999967,0,0,82,1358,1715,1481
12.51000023,9.670000076,0.25,2.579999924,100,6,170,1164,16057,3103
1.769999981,0,0,1.769999981,0,0,148,598,2713,1570
5.400000095,0,0,5.400000095,0,0,312,702,7150,2225
5.920000076,0.379999995,1.74000001,3.75999999,5,40,195,1131,7245,2859
8.399999619,3.769999981,0.079999998,4.550000191,33,4,204,935,10096,3147
3.829999924,0.219999999,0.150000006,3.450000048,3,4,170,1263,5263,2750
0,0,0,0,0,0,0,1440,0,2064
0,0,0,0,0,0,0,1440,0,1980
6.119999886,0.150000006,0.239999995,5.679999828,4,15,331,712,8539,3654
10.43000031,0.680000007,6.210000038,3.539999962,9,125,192,1019,12857,3287
0.839999974,0,0,0.839999974,0,0,82,806,1320,1934
9.670000076,4.909999847,0.589999974,4.179999828,113,12,159,769,12200,4044
8.779999733,0.07,5.400000095,3.309999943,1,115,196,676,13072,1630
5.360000134,0.449999988,0.790000021,4.119999886,6,18,289,624,7990,2175
0,0,0,0,0,0,0,1440,0,1980
3.950000048,0,0,3.950000048,0,0,227,732,5980,1861
4.300000191,0.899999976,1.279999971,2.119999886,11,23,224,1182,6474,1655
1.029999971,0,0,1.029999971,0,0,86,862,1551,1466
7.670000076,3,0.810000002,3.859999895,44,13,247,1136,11459,2553
2.680000067,0,0,2.680000067,0,0,191,1249,3973,1696
7.25,1.389999986,0.589999974,5.269999981,72,10,184,763,9143,3788
9.079999924,0.419999987,0.970000029,7.699999809,6,21,432,844,13743,2486
6.03000021,0.340000004,1.029999971,4.650000095,6,25,370,1039,8844,2065
8.130000114,0.079999998,0.959999979,6.989999771,105,28,271,1036,12332,4142
0,0,0,0,0,0,0,1440,0,1841
10.85999966,4.159999847,1.980000019,4.710000038,58,38,239,689,16556,2254
5.920000076,0,0,5.909999847,0,0,236,1204,9107,1572
5.309999943,0,0,5.309999943,0,0,146,1294,8163,1432
19.34000015,12.78999996,0.289999992,6.159999847,96,17,232,1095,21727,4015
2.589999914,0,0,2.589999914,0,0,108,825,3369,1623
2.359999895,0,0,2.359999895,46,0,197,1197,3516,1966
4.639999866,2.269999981,0.460000008,1.899999976,33,13,92,1302,6474,2484
5.909999847,0.109999999,0.930000007,4.880000114,2,21,356,1061,8796,1982
3.25,0,0,3.25,0,0,247,1082,4920,1856
2.200000048,0,0,2.200000048,0,0,118,1322,3032,2489
0.159999996,0,0,0.159999996,0,0,17,1002,254,1141
9.409999847,3.119999886,1.039999962,5.239999771,42,17,308,584,14560,2995
2.730000019,0.07,0.310000002,2.349999905,1,7,148,682,3758,2580
16.29999924,10.42000008,0.310000002,5.53000021,66,8,212,1154,18193,3477
0.01,0,0,0.01,0,0,3,1437,31,1635
7.389999866,1.379999995,0.170000002,5.789999962,18,5,210,1207,9733,2698
6.429999828,0.689999998,2.00999999,3.720000029,9,43,162,1226,8240,2846
6.739999771,2.440000057,0.400000006,3.910000086,30,11,181,1218,10460,1776
5.320000172,0.119999997,0.519999981,4.679999828,2,13,308,1117,8054,2062
10.78999996,7.110000134,1.200000048,2.450000048,72,23,106,1182,14433,2800
8.869999886,0,0.07,8.789999962,58,15,307,1060,15118,3545
5.630000114,0.079999998,0.660000026,4.869999886,1,16,207,682,6943,2859
6.480000019,3.190000057,0.779999971,2.50999999,38,20,164,539,9705,1728
1.610000014,0,0,1.580000043,0,0,117,1323,2470,1370
7.920000076,0.810000002,0.649999976,6.460000038,13,14,267,648,10299,3061
5.539999962,0,0,5.539999962,0,0,412,456,7336,2469
8.229999542,0.319999993,2.029999971,5.880000114,4,36,263,728,10144,3115
6.260000229,2.089999914,1.039999962,3.130000114,30,26,191,1193,9282,2132
2.99000001,0.140000001,0.25999999,2.589999914,2,8,199,1231,4525,1793
15.97000027,12.34000015,0.209999993,3.359999895,119,5,193,1123,20159,3411
7.179999828,0,0,7.170000076,0,0,328,1112,9501,2896
5.510000229,0,0,5.510000229,0,0,343,330,8891,1364
3.039999962,1.830000043,0.300000012,0.889999986,45,15,63,257,4038,1665
1.169999957,0,0,1.169999957,0,0,101,916,1831,2015
8.890000343,5.369999886,1.070000052,2.440000057,64,21,142,563,11207,3363
2.329999924,0,0,2.329999924,0,0,139,621,2943,2685
7.710000038,2.460000038,2.119999886,3.130000114,37,46,175,833,11992,1821
1.679999948,0,0,1.659999967,0,0,52,1388,2309,2222
8.130000114,4.760000229,1.120000005,2.24000001,66,27,130,1217,12764,1827
0,0,0,0,0,0,0,1440,0,1980
5.039999962,0,0.419999987,4.619999886,0,10,176,714,7193,1377
9.340000153,3.299999952,1.110000014,4.920000076,77,25,220,945,12139,3544
7.570000172,0.430000007,1.620000005,5.519999981,6,30,339,1065,11451,2223
7.75,1.289999962,0.430000007,6.03000021,19,9,234,878,10074,2969
0,0,0,0,0,0,0,1440,0,1347
7.699999809,5.760000229,0.170000002,1.730000019,66,4,110,1260,9877,2947
9.090000153,0.680000007,5.239999771,3.170000076,9,116,171,688,13585,1633
8.130000114,2.559999943,1.00999999,4.550000191,36,23,251,669,12770,1783
1.120000005,0,0,1.120000005,0,0,102,1338,1727,1341
2.269999981,0,0,2.269999981,0,0,179,916,3385,2070
5.980000019,3.059999943,0.910000026,2.00999999,44,19,131,777,8856,1450
0,0,0,0,0,0,0,1440,0,1688
6.650000095,1.269999981,0.660000026,4.71999979,71,13,171,772,8382,3721
7.710000038,0,0,7.710000038,0,0,432,458,12357,1916
4.349999905,0.150000006,0.970000029,3.230000019,2,23,163,1252,5571,2654
4.460000038,0.239999995,0.99000001,3.230000019,3,24,146,908,6132,2696
10.56000042,5.619999886,1.029999971,3.910000086,123,21,174,699,13318,4163
6.960000038,0.140000001,0.560000002,6.25,2,14,374,490,10378,2345
4.78000021,1.350000024,0.670000017,2.75999999,61,38,214,743,6393,3374
9.06000042,6.03000021,0.560000002,2.470000029,71,10,127,669,11419,3369
10.81000042,5.050000191,0.560000002,5.199999809,117,10,174,720,13630,4157
1.519999981,0,0,1.519999981,0,0,114,1219,2268,1933
2.279999971,0,0,2.279999971,0,0,191,716,3609,1447
3.450000048,0,0,3.450000048,0,0,258,610,5528,1555
2.599999905,0.050000001,0.280000001,2.269999981,1,20,195,817,4068,2419
1.779999971,0.479999989,0.620000005,0.680000007,9,34,50,1347,2487,2319
5.420000076,1.580000043,0.629999995,3.190000057,24,13,346,1057,7904,2095
1.460000038,0,0,1.460000038,0,0,129,848,2283,2067
9.510000229,3.430000067,1.659999967,4.429999828,44,29,241,692,14331,2156
5.989999771,0,0,5.989999771,0,0,311,604,8925,2200
3.420000076,0,0,3.420000076,0,0,242,1129,5079,1804
6.139999866,0.430000007,3.269999981,2.450000048,6,51,115,1268,9256,1880
9.970000267,0.730000019,1.399999976,7.840000153,11,31,301,1054,12961,3288
6.739999771,3.400000095,0.829999983,2.50999999,50,14,189,796,10199,1994
4.53000021,1.519999981,0.519999981,2.480000019,19,10,136,740,5709,2908
3.640000105,0,0,3.559999943,0,0,105,1335,4790,2189
1.929999948,0,0,1.919999957,0,0,139,1301,2969,1393
3.569999933,0.050000001,0.360000014,3.160000086,1,9,248,1182,5401,1876
3.75999999,0,0,3.75999999,0,0,385,1055,5512,1972
1.539999962,0.769999981,0.620000005,0.150000006,11,18,11,1400,2153,2053
0,0,0,0,0,0,0,1440,0,0
11.14999962,8.819999695,0.400000006,1.909999967,89,8,123,1220,14581,2918
9.880000114,3.529999971,1.320000052,5.03000021,50,31,264,775,15506,2035
8.5,2.99000001,0.100000001,5.409999847,43,5,292,1100,12024,2601
7.099999905,0.800000012,0.889999986,5.420000076,13,16,236,1175,9232,2979
8.479999542,1.460000038,2.329999924,4.679999828,20,42,209,621,12827,2739
12.27000046,0.75999999,3.24000001,8.270000458,9,66,408,469,15126,3691
8.720000267,4.639999866,0.699999988,3.829999924,64,14,250,1112,13041,2642
11.64999962,0.370000005,2.309999943,8.970000267,5,46,439,577,14370,3683
0.430000007,0,0,0.430000007,0,0,46,943,655,1397
5.599999905,1.779999971,0.829999983,2.950000048,24,14,149,1253,8564,2386
3.359999895,0.159999996,0.439999998,2.75,8,45,232,795,5245,2748
0,0,0,0,0,0,0,1440,0,1980
1.549999952,0,0,1.549999952,0,0,156,739,2421,2297
8.06000042,2.950000048,2.160000086,2.960000038,47,42,177,801,12346,2066
2.650000095,0,0,2.650000095,0,0,225,716,3945,2180
6.78000021,0.289999992,2.410000086,4.079999924,4,54,212,1170,8687,2944
3.589999914,2.130000114,0.189999998,1.25,26,4,108,866,5183,2123
2.809999943,0,0,2.799999952,0,0,204,1236,4165,1725
6.070000172,1.149999976,0.25999999,4.639999866,18,9,376,1037,8857,2124
8.739999771,3.660000086,0.189999998,4.880000114,50,3,280,741,13217,2173
6.619999886,0,0,6.599999905,0,0,401,543,10685,1869
2.309999943,0,0,2.309999943,0,0,120,1193,3176,2498
1.039999962,0,0,1.039999962,0,0,48,1392,1510,2229
5.110000134,0.319999993,0.970000029,3.819999933,5,23,214,801,7641,1433
19.55999947,13.22000027,0.409999996,5.889999866,88,12,213,1127,21420,3832
3.24000001,0,0,3.230000019,0,0,280,1160,4747,1788
3.579999924,0,0,3.579999924,0,0,201,721,4660,2572
5.070000172,1.399999976,0.079999998,3.579999924,20,2,303,1115,7396,1995
0.100000001,0,0,0.100000001,0,0,10,1430,149,2093
5.300000191,0.310000002,2.049999952,2.940000057,4,41,144,901,6530,2729
3.789999962,0.319999993,0.219999999,3.25,15,11,144,776,5077,2551
2.950000048,0.209999993,0.25999999,2.440000057,3,6,88,873,3984,1527
5.579999924,0,0,5.579999924,0,0,258,777,6877,2898
7.71999979,3.769999981,1.74000001,2.220000029,70,113,178,1079,10771,3727
4.820000172,0,1.200000048,3.609999895,0,28,203,1209,6174,2757
0,0,0,0,0,0,0,1440,0,0
6.880000114,1.139999986,1,4.739999771,16,16,206,745,10538,1922
6.369999886,0.209999993,0.460000008,5.699999809,3,12,329,555,9487,2260
6.96999979,0.699999988,2.349999905,3.920000076,11,58,205,600,10415,1529
12.90999985,0.939999998,1.399999976,10.56999969,13,23,361,1043,18387,2732
15.68999958,11.36999989,0.460000008,3.859999895,118,9,209,1104,20500,3403
9.819999695,4.960000038,0.649999976,4.210000038,116,14,169,680,12386,4079
0,0,0,0,0,0,0,1440,0,1980
5.21999979,0.660000026,0.639999986,3.920000076,63,13,152,840,6582,3586
6.659999847,0.879999995,0.810000002,4.96999979,12,19,155,1254,9167,2799
1.639999986,0,0,1.639999986,0,0,116,831,2564,2044
9.390000343,2.119999886,1.629999995,5.639999866,35,47,297,1061,13379,2709
5.980000019,0.129999995,0.370000005,5.46999979,2,10,371,1057,8859,1970
6.909999847,1.340000033,1.059999943,4.5,71,20,195,822,8712,3784
8.180000305,0.360000014,2.529999971,5.300000191,5,58,278,1099,11256,3300
5.539999962,2.900000095,0,2.640000105,46,0,326,1068,8168,2096
0,0,0,0,0,0,0,1440,0,2063
4.730000019,0,0,4.699999809,0,0,356,1084,6905,1908
0,0,0,0,0,0,0,1440,0,1980
0.920000017,0.730000019,0,0.180000007,10,0,17,1413,1326,2195
1.450000048,0.07,0.239999995,1.139999986,1,6,75,1358,2090,2324
9.329999924,4.429999828,0.419999987,4.46999979,52,10,273,1105,12954,2638
7.769999981,3.349999905,1.159999967,3.25999999,46,31,214,746,12207,1859
7.670000076,0,0,7.670000076,0,0,313,729,9454,3145
4.480000019,0,0,4.480000019,0,0,327,623,7222,1667
0,0,0,0,0,0,0,1440,0,1496
0,0,0,0,0,0,0,1440,0,1496
7.130000114,1.039999962,0.970000029,5.119999886,19,20,282,1119,10159,2463
8.119999886,1.100000024,1.720000029,5.289999962,19,42,228,696,10553,3083
0,0,0,0,0,0,0,1440,0,2063
7.400000095,1.940000057,0.959999979,4.5,25,28,245,1142,10538,2380
8.590000153,3.25,0.639999986,4.710000038,42,16,233,1149,13019,1921
10.90999985,0.579999983,0.850000024,9.479999542,7,15,518,502,14450,2828
15.67000008,12.43999958,0.879999995,2.349999905,121,20,148,1076,19769,3331
4.829999924,0,0.579999983,4.25,0,15,160,1265,6637,2677
0.920000017,0,0,0.920000017,0,0,58,976,1282,2127
3.75,0,0,3.75,0,0,237,1142,5600,2225
2.690000057,0,0,2.680000067,0,0,272,443,4112,1776
1.24000001,0,0,1.24000001,0,0,87,1353,1786,2338
7.289999962,3.529999971,1.230000019,2.50999999,67,69,124,671,10688,2944
3.079999924,0,0,3.069999933,0,0,234,1206,4571,1779
3.410000086,0,0,3.400000095,0,0,195,1245,5057,1724
7.190000057,2.930000067,0.569999993,3.690000057,51,11,201,732,10946,2033
9.640000343,0.699999988,2,6.940000057,14,43,300,537,12533,3283
0,0,0,0,0,0,0,1440,0,2064
6.369999886,0,0,6.369999886,0,0,271,772,7860,2984
4.400000095,0,0,3.579999924,0,0,184,1256,6132,2975
2.74000001,0.189999998,0.349999994,2.200000048,3,8,181,706,4414,1459
2.619999886,0,0,2.599999905,0,0,199,1241,4026,1470
0,0,0,0,0,0,0,1440,0,0
4.570000172,0,0,4.559999943,0,0,302,1138,6907,1992
5.179999828,2.480000019,0.109999999,2.579999924,30,2,233,725,7502,2421
1.370000005,0,0,1.370000005,0,0,182,1258,2104,1474
0.01,0,0,0.01,0,0,2,1438,16,1990
5.199999809,0,0,0,0,0,0,1440,7753,2115
6.619999886,0.340000004,0.730000019,5.539999962,4,15,251,757,8161,3004
8.029999733,1.970000029,0.25,5.809999943,24,6,289,754,12159,1896
0.01,0,0,0.01,0,0,2,0,17,257
5.349999905,0.140000001,0.280000001,4.929999828,6,14,380,634,8360,3101
3.170000076,0,0,3.170000076,0,0,222,1218,4803,1788
9.43999958,1.809999943,4.579999924,2.890000105,14,96,142,852,13559,1628
4.929999828,0.860000014,0.589999974,3.470000029,7,6,166,1261,7155,1497
4.550000191,0.340000004,0.200000003,4.010000229,5,5,308,1122,6890,2085
3.50999999,1.470000029,0.239999995,1.809999943,18,6,122,1294,4503,2547
0,0,0,0,0,0,0,1440,0,1819
0.029999999,0,0,0.029999999,0,0,4,2,42,403
17.95000076,13.13000011,1.549999952,3.25999999,129,33,182,1096,22988,3577
5.949999809,2,0.769999981,3.170000076,30,31,146,1233,8294,2798
4.579999924,0,0,4.579999924,0,0,317,706,6831,2432
2.769999981,0,0.519999981,2.25,0,14,151,709,4188,1659
9.25,3.559999943,1.419999957,4.269999981,52,34,217,712,14673,1947
9.550000191,4.28000021,0.189999998,5.090000153,48,4,297,639,13928,2174
6.679999828,0,0.569999993,6.099999905,0,12,253,746,8232,2990
6.820000172,3.75,0.699999988,2.369999886,69,39,129,706,10091,2752
9.340000153,0.720000029,4.090000153,4.539999962,10,94,221,1115,12850,3324
1.929999948,0,0,1.919999957,0,0,107,890,2971,1002
5.369999886,0,0,5.360000134,0,0,389,1051,7948,1956
5.059999943,0,0.209999993,4.829999924,0,7,334,1099,7525,1878
0,0,0,0,0,0,0,1440,0,1980
0,0,0,0,0,0,0,1440,0,1980
4.239999771,2,0.289999992,1.950000048,25,6,162,1247,6155,2248
4.949999809,0,0,4.949999809,0,0,359,1081,7373,1907
6.409999847,2.920000076,0.209999993,3.279999971,39,5,238,709,10039,1788
8.979999542,2.220000029,1.210000038,5.559999943,57,28,271,1084,12798,2797
7.349999905,0.670000017,1.039999962,5.579999924,13,46,346,531,10252,3879
7.880000114,1.080000043,0.50999999,6.300000191,14,8,239,584,10243,2885
8.090000153,3.650000095,1.659999967,2.779999971,110,74,175,670,10830,4018
4.039999962,0,0.379999995,3.660000086,0,11,228,1201,5997,1811
7.570000172,1.370000005,0.790000021,5.409999847,19,13,277,767,11596,2026
2.910000086,1.110000014,0.579999983,1.220000029,17,18,85,1053,4053,2400
9.789999962,1.129999995,0.779999971,7.880000114,18,18,306,984,12727,3290
5.389999866,0,0,5.389999866,0,0,305,1135,8059,2383
3.890000105,1.559999943,0.25,2.079999924,25,9,141,631,5206,2755
9.079999924,3.920000076,1.600000024,3.559999943,115,54,199,695,12087,4005
8.289999962,2.50999999,0.930000007,4.849999905,36,27,272,1105,11768,2649
6.28000021,0,0,6.269999981,0,0,258,1182,8301,2783
8.670000076,2.440000057,0.270000011,5.940000057,29,5,191,1215,11423,2761
15.01000023,0.980000019,0.400000006,5.619999886,11,19,294,579,19542,4900
8.739999771,3.329999924,1.110000014,4.309999943,104,53,255,1028,12453,3158
7.010000229,1.659999967,1.940000057,3.410000086,19,32,195,676,10352,2038
2.559999943,1.429999948,0.140000001,0.99000001,34,11,70,1099,3421,2489
2.940000057,0,0,2.940000057,0,0,135,734,3703,2741
2.650000095,0.109999999,0.170000002,2.329999924,2,8,134,1296,3689,2645
2.410000086,0,0,2.410000086,0,0,89,1351,3321,2413
2.680000067,0,0,2.680000067,0,0,184,1256,4059,1742
8.609999657,0.079999998,1.879999995,6.650000095,1,37,262,701,10613,3172
1.179999948,0,0,1.179999948,0,0,104,582,1807,1507
2.480000019,0,0,0.349999994,0,0,34,1265,3702,1792
0,0,0,0,0,0,0,1440,0,1347
1.370000005,0,0,1.370000005,0,0,87,1353,2080,1549
6.420000076,0.409999996,0.469999999,5.460000038,6,11,314,692,9524,2266
4.429999828,0,0,4.429999828,0,0,339,1101,6697,2030
6.989999771,0.670000017,0.219999999,6.090000153,8,5,241,745,8614,3006
